,precision,recall,f1-score,support
Negative(0),0.8983050847457628,0.9814814814814815,0.9380530973451328,54.0
Positive(1),0.9896907216494846,0.9411764705882353,0.964824120603015,102.0
accuracy,0.9551282051282052,0.9551282051282052,0.9551282051282052,0.9551282051282052
macro avg,0.9439979031976237,0.9613289760348585,0.9514386089740738,156.0
weighted avg,0.9580572319520425,0.9551282051282052,0.955557227936825,156.0
