,precision,recall,f1-score,support
Negative(0),0.9818181818181818,1.0,0.9908256880733946,54.0
Positive(1),1.0,0.9901960784313726,0.9950738916256158,102.0
accuracy,0.9935897435897436,0.9935897435897436,0.9935897435897436,0.9935897435897436
macro avg,0.990909090909091,0.9950980392156863,0.9929497898495052,156.0
weighted avg,0.9937062937062936,0.9935897435897436,0.99360335962677,156.0
