,precision,recall,f1-score,support
Negative(0),0.8771929824561403,0.9259259259259259,0.9009009009009009,54.0
Positive(1),0.9595959595959596,0.9313725490196079,0.945273631840796,102.0
accuracy,0.9294871794871795,0.9294871794871795,0.9294871794871795,0.9294871794871795
macro avg,0.9183944710260499,0.9286492374727668,0.9230872663708485,156.0
weighted avg,0.9310718521244835,0.9294871794871795,0.9299138403616016,156.0
